,GEOID,geometry,P_WrkAge,Pct_AO1,R_HiWageWk,D1B,D1C,D3A,D3AMM,D3APO,D3B,D4A,D5AR,D5CRI
2787,360610187003,"POLYGON ((-73.970881 40.798444, -73.970423 40.799071, -73.969001 40.798476, -73.969457 40.797838, -73.96992 40.797219, -73.971339 40.797815, -73.970881 40.798444))",0.458,0.112359551,274.0,79.77913884,57.43359301,35.09150234,29.53578191,5.555720428,0.0,170.32,642331.0,0.52624115
2788,360610178001,"POLYGON ((-73.934456 40.79731, -73.933991 40.797932, -73.931743 40.796988, -73.9322 40.796359, -73.93266 40.795732, -73.934913 40.79668, -73.934456 40.79731))",0.833,0.07253886,281.0,135.1122451,9.57580302,17.44880228,13.81765554,2.976359557,149.4759496,273.59,827535.0,0.677972836
2789,360610148011,"POLYGON ((-73.957702 40.779496, -73.956082 40.778814, -73.954482 40.778139, -73.954945 40.777504, -73.956546 40.77818, -73.958165 40.778861, -73.957702 40.779496))",0.627,0.305013928,585.0,247.996323,158.1683389,18.00994886,14.5351496,0.0,0.0,142.16,780489.0,0.63942956
2790,360610112011,"POLYGON ((-73.977196 40.764324, -73.976703 40.764996, -73.976234 40.765675, -73.973636 40.76457, -73.973015 40.764279, -73.973465 40.763659, -73.973968 40.762967, -73.974457 40.762293, -73.977686 40.763645, -73.977196 40.764324))",0.625,0.289583333,434.0,41.92669443,692.7063325,34.79031649,11.54219908,18.03682127,249.7366148,187.76,856356.0,0.701584956
2791,360610104001,"POLYGON ((-73.980426 40.759899, -73.979972 40.760525, -73.979513 40.761148, -73.979057 40.761771, -73.978601 40.762396, -73.978139 40.763024, -73.977686 40.763645, -73.974457 40.762293, -73.974915 40.761667, -73.975373 40.76104, -73.975831 40.760418, -73.976289 40.759787, -73.976744 40.759165, -73.977201 40.758538, -73.977655 40.757912, -73.978466 40.75825, -73.978911 40.758436, -73.979038 40.75849, -73.980886 40.75927, -73.980426 40.759899))",0.662,0.138353765,573.0,21.4693878,1181.961051,30.24303059,21.30161965,3.753137354,89.73877035,0.0,791138.0,0.648153944
2792,360610036021,"POLYGON ((-73.990345 40.724928, -73.98987 40.725582, -73.988464 40.72499, -73.988258 40.724903, -73.987502 40.724584, -73.987968 40.723942, -73.988451 40.723277, -73.99082 40.724275, -73.990345 40.724928))",0.886,0.236652237,509.0,138.1409985,45.76253927,32.66600147,32.65525128,0.010750199,68.27045486,166.3,662109.0,0.54244463
2793,360610041004,"POLYGON ((-73.997931 40.718158, -73.99774 40.71847, -73.997559 40.718794, -73.997373 40.719169, -73.997303 40.719324, -73.996836 40.720505, -73.996701 40.72045, -73.99603 40.720181, -73.996478 40.719048, -73.996512 40.718962, -73.996632 40.718691, -73.996771 40.718417, -73.996936 40.718133, -73.997108 40.71787, -73.997763 40.716814, -73.998589 40.717099, -73.997931 40.718158))",0.687,0.077868852,381.0,247.7240435,171.6925225,47.68665945,46.57121199,1.115447465,83.75245,344.67,739189.0,0.605593797
2794,360610006002,"POLYGON ((-73.992267 40.712468, -73.991665 40.712514, -73.989971 40.712646, -73.989848 40.711917, -73.989734 40.711243, -73.989492 40.711267, -73.989461 40.710868, -73.989406 40.710143, -73.989424 40.710053, -73.989384 40.709954, -73.989387 40.709891, -73.989763 40.709842, -73.990423 40.709742, -73.990791 40.709691, -73.991759 40.709554, -73.991872 40.709538, -73.991939 40.709528, -73.99197 40.709586, -73.992028 40.709693, -73.992075 40.709771, -73.991995 40.709786, -73.991897 40.709802, -73.99186 40.709808, -73.991777 40.709819, -73.991977 40.710911, -73.992183 40.711775, -73.992267 40.712468))",0.591,0.086698337,320.0,125.9547202,6.131923785,56.41291427,17.39134807,27.41967657,160.2609567,202.51,834448.0,0.683636435
2795,360610119001,"POLYGON ((-73.986458 40.75671, -73.986014 40.757339, -73.985551 40.757968, -73.985085 40.758589, -73.982256 40.757387, -73.982712 40.756771, -73.983168 40.75614, -73.983624 40.755516, -73.984118 40.754842, -73.986398 40.755804, -73.986949 40.756036, -73.986458 40.75671))",0.486,0.043373494,113.0,21.75727598,2415.012021,30.71396932,20.9583454,9.754961283,87.57645676,166.3,875751.0,0.717474656
2796,360610049003,"POLYGON ((-74.003122 40.726878, -74.002789 40.727272, -74.002513 40.727601, -74.002149 40.728036, -74.00139 40.72766, -74.000632 40.727287, -73.999916 40.726935, -74.000898 40.725773, -74.001597 40.726119, -74.00235 40.726496, -74.002844 40.72674, -74.002972 40.726803, -74.003122 40.726878))",0.833,0.12,472.0,169.1383556,87.22117292,33.02203952,24.61158758,8.410451945,75.43452793,108.63,670501.0,0.549319926
2797,360610245006,"POLYGON ((-73.943514 40.835934, -73.940664 40.834731, -73.940049 40.834491, -73.94036 40.833786, -73.941118 40.834114, -73.943967 40.835309, -73.943514 40.835934))",0.797,0.113636364,216.0,215.1559163,28.39697499,28.82669549,19.1730496,9.653645885,96.15906874,246.77,663887.0,0.543901288
2798,360610271005,"POLYGON ((-73.936478 40.85285, -73.936426 40.853091, -73.936388 40.853333, -73.936365 40.853577, -73.936355 40.853821, -73.936331 40.854044, -73.936286 40.854267, -73.936222 40.854488, -73.936139 40.854704, -73.936038 40.854915, -73.934627 40.854501, -73.935133 40.853479, -73.935716 40.852339, -73.936545 40.852611, -73.936478 40.85285))",0.737,0.330601093,445.0,256.6655103,21.15127817,11.26444965,0.0,11.26444965,96.00580163,158.25,698478.0,0.572240583
